timestamp,distance,strength,temperature
2024-12-02 17:14:22,249,6562,53.0
2024-12-02 17:14:22,249,6557,53.0
2024-12-02 17:14:22,249,6549,53.0
2024-12-02 17:14:22,249,6550,53.0
2024-12-02 17:14:22,249,6545,53.0
2024-12-02 17:14:22,249,6541,53.0
2024-12-02 17:14:22,248,6360,53.0
2024-12-02 17:14:23,38,3571,53.0
2024-12-02 17:14:23,25,2507,53.0
2024-12-02 17:14:23,18,1609,53.0
2024-12-02 17:14:23,12,1318,52.0
2024-12-02 17:14:23,13,1217,52.25
2024-12-02 17:14:23,19,1936,52.0
2024-12-02 17:14:23,28,2361,52.0
2024-12-02 17:14:23,40,1442,52.0
2024-12-02 17:14:23,54,4797,52.0
2024-12-02 17:14:23,95,1736,52.0
2024-12-02 17:14:24,248,2146,52.0
2024-12-02 17:14:24,248,2144,52.0
2024-12-02 17:14:24,248,2144,52.25
2024-12-02 17:14:24,248,2141,52.0
2024-12-02 17:14:24,248,2143,52.0
2024-12-02 17:14:24,248,2140,52.75
2024-12-02 17:14:24,248,2136,52.0
2024-12-02 17:14:24,74,2183,52.0
2024-12-02 17:14:24,54,6487,52.0
2024-12-02 17:14:25,247,2136,52.0
2024-12-02 17:14:25,247,2136,52.0
2024-12-02 17:14:25,248,2146,52.0
2024-12-02 17:14:25,248,2142,52.0
2024-12-02 17:14:25,248,2141,52.0
2024-12-02 17:14:25,247,2142,52.0
2024-12-02 17:14:25,248,2143,52.0
2024-12-02 17:14:25,246,2069,52.0
2024-12-02 17:14:25,166,2309,52.0
2024-12-02 17:14:26,129,3654,52.0
2024-12-02 17:14:26,127,3874,52.0
2024-12-02 17:14:26,127,4071,52.0
2024-12-02 17:14:26,127,4158,52.0
2024-12-02 17:14:26,127,4206,52.0
2024-12-02 17:14:26,127,4202,52.0
2024-12-02 17:14:26,128,4101,52.0
2024-12-02 17:14:26,129,3830,52.0
2024-12-02 17:14:26,131,3688,52.0
2024-12-02 17:14:26,133,3652,52.0
2024-12-02 17:14:27,134,3659,52.0
2024-12-02 17:14:27,135,3593,52.0
2024-12-02 17:14:27,137,3496,52.0
2024-12-02 17:14:27,139,3411,52.0
2024-12-02 17:14:27,139,3364,52.0
2024-12-02 17:14:27,138,3369,52.0
2024-12-02 17:14:27,138,3418,52.0
2024-12-02 17:14:27,136,3431,52.0
2024-12-02 17:14:27,78,4583,52.0
2024-12-02 17:14:28,86,3618,52.0
2024-12-02 17:14:28,92,2898,52.0
2024-12-02 17:14:28,99,2296,52.0
2024-12-02 17:14:28,104,1953,52.0
2024-12-02 17:14:28,106,1804,52.0
2024-12-02 17:14:28,105,1809,52.0
2024-12-02 17:14:28,100,2005,52.0
2024-12-02 17:14:28,94,2314,52.0
2024-12-02 17:14:28,86,3015,52.0
2024-12-02 17:14:28,77,3252,52.0
2024-12-02 17:14:29,68,4129,52.0
2024-12-02 17:14:29,247,2106,52.0
2024-12-02 17:14:29,248,2142,52.0
2024-12-02 17:14:29,248,2147,52.0
2024-12-02 17:14:29,248,2140,52.0
